common_name,slug,scientific_name,category,habitat_tags,key_visual_traits,relative_scale_index,enabled,notes
Bullhead Catfish,bullhead_catfish,Ameiurus melas,fish,freshwater|ponds|slow rivers|muddy,stout thick-bodied shape with a broad flattened head|dark brown to nearly black back with a yellowish belly|squared-off or only slightly notched tail (not forked)|four pairs of dark barbels around the mouth|smooth scaleless skin and a small adipose fin,0.9,true,Black bullhead; unforked tail distinguishes from channel cat.
Common Carp,common_carp,Cyprinus carpio,fish,freshwater|lakes|rivers|warm water,deep thick-bodied shape covered in large brassy-gold scales|long single dorsal fin with a serrated leading spine|two pairs of fleshy barbels at the corners of the mouth|downturned sucker-like protrusible mouth|reddish-orange tint in the tail and anal fins,2.2,true,Large scales and four barbels are diagnostic.
White Sucker,white_sucker,Catostomus commersonii,fish,freshwater|rivers|streams|lakes,elongated cylindrical body tapering evenly toward the tail|dusky olive to bronze back fading to a cream or white belly|thick fleshy downward-facing sucker mouth with papillose lips|small scales that become noticeably smaller toward the head|single short dorsal fin with no spines and a slightly forked tail,1.1,true,Ventral sucker mouth is the key identifier.
Painted Turtle,painted_turtle,Chrysemys picta,turtle,freshwater|ponds|slow streams|marshes,smooth flattened dark olive to black carapace with red margin markings on the scute edges|bright yellow stripes on the head and neck with red streaks on the limbs and tail|yellow plastron (often unmarked in eastern subspecies with a dark central blotch in midland and western forms)|webbed feet with clawed toes suited for swimming|small rounded head with a slightly notched upper jaw,0.4,true,Most widespread native turtle in North America.
Red-eared Slider,red_eared_slider,Trachemys scripta elegans,turtle,freshwater|ponds|lakes|slow rivers,oval moderately domed olive-green carapace with yellow streaks and dark vertical bars on the scutes|distinctive broad red or orange stripe behind each eye running along the side of the head|yellow plastron marked with dark blotches in each scute|yellow and green striped neck limbs and tail|fully webbed hind feet with long foreclaws in adult males,0.6,true,Red postorbital stripe is the diagnostic field mark.
Common Snapping Turtle,common_snapping_turtle,Chelydra serpentina,turtle,freshwater|ponds|rivers|muddy bottoms,massive rough brown to olive carapace with three low longitudinal keels often coated in algae|greatly reduced cross-shaped plastron leaving the limbs and neck largely exposed|long thick heavily saw-toothed tail nearly as long as the shell|large pointed head with a strongly hooked upper beak and powerful jaws|stout muscular legs with heavy claws and tubercles on the neck and limbs,1.2,true,Long serrated tail and reduced plastron are diagnostic.
Eastern Box Turtle,eastern_box_turtle,Terrapene carolina,turtle,terrestrial|deciduous woodland|meadows|moist forest,high-domed brown to black carapace with bright yellow or orange radiating blotches on each scute|hinged plastron that closes tightly against the carapace to fully enclose the body|short stout limbs with four toes on the hind feet (unlike the three-toed box turtle)|red to orange eyes in males brown in females set in a variably patterned head|slightly hooked upper jaw and a short tail,0.4,true,Hinged plastron allows complete shell closure.
Spiny Softshell Turtle,spiny_softshell_turtle,Apalone spinifera,turtle,freshwater|rivers|lakes|sandy bottoms,flat round pancake-like leathery carapace without scutes olive to tan with dark ocelli or spots|row of small conical spines along the leading edge of the carapace|long tubular snorkel-like snout with nostrils at the tip|fully webbed feet with three clawed toes on each foot|slender head and long neck with pale stripes bordered by dark lines,0.65,true,Pliable shell and tubular snout distinguish from hard-shelled turtles.
Great Blue Heron,great_blue_heron,Ardea herodias,bird,freshwater|wetlands|marshes|shorelines,tall slate blue-gray body with a long S-curved neck and long yellow dagger-like bill|white face with a bold black plume extending back from above the eye|rusty-chestnut thighs and shoulder patches with black streaks down the foreneck|long dark legs trailing well beyond the tail in flight|shaggy plumes on the lower neck and back during breeding season,2.5,true,Largest North American heron; neck held in an S-curve at rest.
Belted Kingfisher,belted_kingfisher,Megaceryle alcyon,bird,freshwater|rivers|lakes|coastal,stocky big-headed body with a shaggy double-pointed crest|slate blue-gray upperparts with a white collar and white underparts|broad blue-gray breast band (males) with an additional rusty belly band in females|heavy straight dagger-like black bill|short legs with small feet and a short square tail,0.75,true,Females more colorful than males; double-crested silhouette is diagnostic.
Common Loon,common_loon,Gavia immer,bird,freshwater|lakes|boreal|coastal in winter,large streamlined body with a glossy black head and thick dagger-shaped black bill|black-and-white checkered back with white rows of spots on the upper wings|vertical white neck stripes forming a partial collar and a bold black-and-white necklace|deep red eye in breeding plumage|legs set far back on the body with fully webbed feet,2.0,true,Checkered back and white necklace define breeding adults.
Osprey,osprey,Pandion haliaetus,bird,freshwater|coastal|lakes|rivers,long narrow wings held in a shallow M-shape with dark brown upperparts and white underparts|white head crossed by a broad dark eyestripe running through a yellow eye|streaked brown necklace across the upper breast (often heavier in females)|heavily hooked black bill and long bare grayish legs|reversible outer toe and spiny foot pads adapted for grasping fish,1.5,true,Only raptor with a reversible outer toe; specialized fish eater.
Mallard,mallard,Anas platyrhynchos,bird,freshwater|ponds|marshes|rivers,male with an iridescent green head white neck ring chestnut breast and pale gray body|female mottled brown with a dark crown and eyestripe and a mottled orange-and-black bill|bright blue speculum bordered by white bars on the secondaries in both sexes|yellow bill in males orange legs in both sexes|upturned curly black central tail feathers in males,1.5,true,Ancestral form of most domestic ducks; blue speculum is diagnostic.
Wood Duck,wood_duck,Aix sponsa,bird,freshwater|wooded swamps|ponds|slow rivers,male with an iridescent green-and-purple crested head marked by bold white facial stripes|chestnut breast flecked with white spots and buff flanks with fine black-and-white barring|red eye and a red-and-white bill in breeding males|female gray-brown with a white teardrop eye-ring and a small head crest|long square tail and sharp claws on the feet adapted for perching in trees,1.25,true,One of the few ducks that nests in tree cavities.
American Bittern,american_bittern,Botaurus lentiginosus,bird,freshwater|marshes|reed beds|wetlands,stocky medium-sized heron with rich brown upperparts streaked in buff and dark brown|heavily streaked white and brown underparts providing reed-like camouflage|bold black malar stripe running down the side of the neck|yellow eye and a long straight yellowish dagger-shaped bill|greenish-yellow legs and a habit of pointing the bill skyward when alarmed,1.75,true,Cryptic coloration and sky-pointing posture aid concealment in reeds.
